dep_var,beta_hat,p_boot_two_sided,ci_lo,ci_hi,B_requested,B_used,fail_rate
fragmentation,-0.4100558072736604,0,-0.5073291529282485,-0.3138874007139262,999,999,0
weighted_fragmentation,-0.4392297346052036,0,-0.5551523879148362,-0.3242986894256322,999,999,0
modularity,-0.002958484915184511,0.9229229229229229,-0.05594024162602603,0.04213438984377869,999,999,0
density,-0.01659872203323956,0.0920920920920921,-0.037603349816461684,0.0020157689715221364,999,999,0
